issue_date,issue_hour,issue_datetime,lead_hour,target_datetime,pv_forecast_kw
2025-01-01 00:00:00,0,2025-01-01 00:00:00,1,2025-01-01 01:00:00,0.00000000
2025-01-01 00:00:00,0,2025-01-01 00:00:00,2,2025-01-01 02:00:00,0.00000000
2025-01-01 00:00:00,0,2025-01-01 00:00:00,3,2025-01-01 03:00:00,0.00000000
2025-01-01 00:00:00,0,2025-01-01 00:00:00,4,2025-01-01 04:00:00,0.00000000
2025-01-01 00:00:00,0,2025-01-01 00:00:00,5,2025-01-01 05:00:00,0.00000000
2025-01-01 00:00:00,0,2025-01-01 00:00:00,6,2025-01-01 06:00:00,0.00000000
2025-01-01 00:00:00,0,2025-01-01 00:00:00,7,2025-01-01 07:00:00,3.11730000
2025-01-01 00:00:00,0,2025-01-01 00:00:00,8,2025-01-01 08:00:00,1603.33050000
2025-01-01 00:00:00,0,2025-01-01 00:00:00,9,2025-01-01 09:00:00,3409.09290000
2025-01-01 00:00:00,0,2025-01-01 00:00:00,10,2025-01-01 10:00:00,4871.28750000
2025-01-01 00:00:00,0,2025-01-01 00:00:00,11,2025-01-01 11:00:00,5785.11100000
2025-01-01 00:00:00,0,2025-01-01 00:00:00,12,2025-01-01 12:00:00,5737.17170000
2025-01-01 00:00:00,0,2025-01-01 00:00:00,13,2025-01-01 13:00:00,6047.39640000
2025-01-01 00:00:00,0,2025-01-01 00:00:00,14,2025-01-01 14:00:00,4687.11650000
2025-01-01 00:00:00,0,2025-01-01 00:00:00,15,2025-01-01 15:00:00,3572.65290000
2025-01-01 00:00:00,0,2025-01-01 00:00:00,16,2025-01-01 16:00:00,1629.99640000
2025-01-01 00:00:00,0,2025-01-01 00:00:00,17,2025-01-01 17:00:00,3.19560000
2025-01-01 00:00:00,0,2025-01-01 00:00:00,18,2025-01-01 18:00:00,0.00000000
2025-01-01 00:00:00,0,2025-01-01 00:00:00,19,2025-01-01 19:00:00,0.00000000
2025-01-01 00:00:00,0,2025-01-01 00:00:00,20,2025-01-01 20:00:00,0.00000000
2025-01-01 00:00:00,0,2025-01-01 00:00:00,21,2025-01-01 21:00:00,0.00000000
2025-01-01 00:00:00,0,2025-01-01 00:00:00,22,2025-01-01 22:00:00,0.00000000
2025-01-01 00:00:00,0,2025-01-01 00:00:00,23,2025-01-01 23:00:00,0.00000000
2025-01-01 00:00:00,0,2025-01-01 00:00:00,24,2025-01-02 00:00:00,0.00000000
2025-01-01 00:00:00,6,2025-01-01 06:00:00,1,2025-01-01 07:00:00,3.09190000
2025-01-01 00:00:00,6,2025-01-01 06:00:00,2,2025-01-01 08:00:00,1588.78390000
2025-01-01 00:00:00,6,2025-01-01 06:00:00,3,2025-01-01 09:00:00,3297.98930000
2025-01-01 00:00:00,6,2025-01-01 06:00:00,4,2025-01-01 10:00:00,4692.22740000
2025-01-01 00:00:00,6,2025-01-01 06:00:00,5,2025-01-01 11:00:00,5220.38940000
2025-01-01 00:00:00,6,2025-01-01 06:00:00,6,2025-01-01 12:00:00,5078.69920000
2025-01-01 00:00:00,6,2025-01-01 06:00:00,7,2025-01-01 13:00:00,5314.20030000
2025-01-01 00:00:00,6,2025-01-01 06:00:00,8,2025-01-01 14:00:00,4833.71420000
2025-01-01 00:00:00,6,2025-01-01 06:00:00,9,2025-01-01 15:00:00,3588.03750000
2025-01-01 00:00:00,6,2025-01-01 06:00:00,10,2025-01-01 16:00:00,1660.03690000
