step,interval_start_minute,interval_end_minute,duration_h,price_yuan_per_kwh,load_kw,pv_forecast_kw
1,0,10,0.16666667,0.42480000,3439.84660000,0.00000000
2,10,20,0.16666667,0.42450000,3437.97920000,0.00000000
3,20,30,0.16666667,0.42690000,3444.30310000,0.00000000
4,30,40,0.16666667,0.42720000,3454.44370000,0.00000000
5,40,50,0.16666667,0.42710000,3458.82730000,0.00000000
6,50,60,0.16666667,0.42850000,3459.84010000,0.00000000
7,60,70,0.16666667,0.43110000,3467.15820000,0.00000000
8,70,80,0.16666667,0.43020000,3467.96320000,0.00000000
9,80,90,0.16666667,0.42790000,3466.96830000,0.00000000
10,90,100,0.16666667,0.43120000,3482.49270000,0.00000000
11,100,110,0.16666667,0.43330000,3495.08410000,0.00000000
12,110,120,0.16666667,0.43110000,3498.44430000,0.00000000
13,120,130,0.16666667,0.42930000,3505.22950000,0.00000000
14,130,140,0.16666667,0.43240000,3512.63870000,0.00000000
15,140,150,0.16666667,0.43670000,3516.86850000,0.00000000
16,150,160,0.16666667,0.43480000,3517.92460000,0.00000000
17,160,170,0.16666667,0.43350000,3518.55180000,0.00000000
18,170,180,0.16666667,0.43570000,3521.09760000,0.00000000
19,180,190,0.16666667,0.43740000,3526.92610000,0.00000000
20,190,200,0.16666667,0.43710000,3537.28540000,0.00000000
21,200,210,0.16666667,0.43560000,3544.88080000,0.00000000
22,210,220,0.16666667,0.43530000,3541.27870000,0.00000000
23,220,230,0.16666667,0.43600000,3546.39760000,0.00000000
24,230,240,0.16666667,0.43780000,3560.20700000,0.00000000
25,240,250,0.16666667,0.44010000,3561.95810000,0.00000000
26,250,260,0.16666667,0.43890000,3556.71830000,0.00000000
27,260,270,0.16666667,0.43640000,3560.02720000,0.00000000
28,270,280,0.16666667,0.43930000,3580.65400000,0.59940000
29,280,290,0.16666667,0.44220000,3586.91600000,0.23450000
30,290,300,0.16666667,0.43950000,3571.26350000,0.28850000
31,300,310,0.16666667,0.43330000,3562.31710000,18.67810000
32,310,320,0.16666667,0.44390000,3591.38090000,54.46980000
33,320,330,0.16666667,0.43010000,3579.70450000,108.97180000
34,330,340,0.16666667,0.37130000,3486.11900000,184.16030000
35,340,350,0.16666667,0.57080000,3823.89940000,277.05820000
36,350,360,0.16666667,0.90990000,4398.07270000,388.54940000
37,360,370,0.16666667,0.93680000,4454.01230000,521.28030000
38,370,380,0.16666667,0.87580000,4371.79190000,672.76770000
39,380,390,0.16666667,0.87590000,4392.95300000,844.22610000
40,390,400,0.16666667,0.86010000,4384.59560000,1039.67440000
41,400,410,0.16666667,0.84420000,4434.77570000,1259.33750000
42,410,420,0.16666667,0.83340000,4523.45610000,1508.63180000
43,420,430,0.16666667,0.80920000,4524.07210000,1791.41070000
44,430,440,0.16666667,0.79720000,4545.88670000,2085.48650000
45,440,450,0.16666667,0.76440000,4523.24180000,2381.26110000
46,450,460,0.16666667,0.68990000,4383.35660000,2683.17520000
47,460,470,0.16666667,0.86000000,4910.45990000,2986.35520000
48,470,480,0.16666667,1.16170000,5799.73270000,3289.20400000
49,480,490,0.16666667,1.16830000,5884.82600000,3593.36130000
50,490,500,0.16666667,1.09560000,5748.07130000,3890.73320000
51,500,510,0.16666667,1.08490000,5769.05810000,4181.34170000
52,510,520,0.16666667,1.06100000,5754.21050000,4471.76570000
53,520,530,0.16666667,1.04300000,5824.18070000,4752.82720000
54,530,540,0.16666667,1.03600000,5954.26010000,5021.90740000
55,540,550,0.16666667,1.01470000,5958.96960000,5285.41260000
56,550,560,0.16666667,0.99220000,5929.55540000,5543.17420000
57,560,570,0.16666667,0.97000000,5923.78280000,5788.40930000
58,570,580,0.16666667,0.94220000,5907.58600000,6012.13040000
59,580,590,0.16666667,0.95690000,5899.12620000,6216.15280000
60,590,600,0.16666667,0.99770000,5902.21960000,6409.59410000
61,600,610,0.16666667,0.99190000,5897.47930000,6599.38080000
62,610,620,0.16666667,0.95880000,5886.75680000,6766.72040000
63,620,630,0.16666667,0.95490000,5873.47080000,6914.59230000
64,630,640,0.16666667,0.98390000,5858.03080000,7064.20530000
65,640,650,0.16666667,0.79900000,5844.99480000,7197.43150000
66,650,660,0.16666667,0.50250000,5839.05870000,7303.11420000
67,660,670,0.16666667,0.46620000,5838.71030000,7387.68480000
68,670,680,0.16666667,0.50070000,5823.43780000,7459.22700000
69,680,690,0.16666667,0.48270000,5814.79320000,7520.71910000
70,690,700,0.16666667,0.47850000,5832.39510000,7568.20390000
71,700,710,0.16666667,0.46620000,5712.90100000,7592.15390000
72,710,720,0.16666667,0.44320000,5519.46070000,7601.04330000
73,720,730,0.16666667,0.44110000,5494.79070000,7612.31600000
74,730,740,0.16666667,0.45510000,5514.45240000,7602.65240000
75,740,750,0.16666667,0.44630000,5485.82900000,7554.18720000
76,750,760,0.16666667,0.41130000,5462.36280000,7472.73840000
77,760,770,0.16666667,0.56820000,5566.10660000,7393.41720000
78,770,780,0.16666667,0.82790000,5725.75480000,7312.79790000
79,780,790,0.16666667,0.86360000,5739.49570000,7194.54100000
80,790,800,0.16666667,0.84160000,5714.68360000,7053.13710000
81,800,810,0.16666667,0.86180000,5717.85050000,6910.40640000
82,810,820,0.16666667,0.86230000,5708.24860000,6772.40750000
83,820,830,0.16666667,0.90260000,5696.91820000,6607.36000000
84,830,840,0.16666667,0.97540000,5692.29830000,6412.50850000
85,840,850,0.16666667,1.00020000,5687.12910000,6214.01580000
86,850,860,0.16666667,0.99780000,5678.96200000,6000.71120000
87,860,870,0.16666667,1.02710000,5669.45080000,5766.98160000
88,870,880,0.16666667,1.09060000,5664.19480000,5521.50660000
89,880,890,0.16666667,0.93760000,5672.70110000,5268.78100000
90,890,900,0.16666667,0.66940000,5682.25440000,5009.71520000
91,900,910,0.16666667,0.66000000,5669.01950000,4743.44840000
92,910,920,0.16666667,0.72170000,5656.36510000,4471.22400000
93,920,930,0.16666667,0.73080000,5657.08670000,4188.20250000
94,930,940,0.16666667,0.75340000,5662.60080000,3889.39310000
95,940,950,0.16666667,0.78230000,5669.25960000,3594.59460000
96,950,960,0.16666667,0.80550000,5673.47670000,3303.88780000
97,960,970,0.16666667,0.82710000,5671.01460000,2998.42470000
98,970,980,0.16666667,0.85190000,5661.59260000,2687.41310000
99,980,990,0.16666667,0.87910000,5665.89220000,2383.17790000
100,990,1000,0.16666667,0.90240000,5689.03720000,2089.12460000
101,1000,1010,0.16666667,0.91630000,5603.66140000,1791.08290000
102,1010,1020,0.16666667,0.92640000,5466.71240000,1501.72830000
103,1020,1030,0.16666667,0.94620000,5467.39390000,1255.17230000
104,1030,1040,0.16666667,0.97420000,5464.72700000,1036.33230000
105,1040,1050,0.16666667,0.98620000,5492.44580000,836.77750000
106,1050,1060,0.16666667,0.97600000,5621.73080000,665.23130000
107,1060,1070,0.16666667,1.07420000,5091.21260000,516.67580000
108,1070,1080,0.16666667,1.23130000,4208.56880000,386.67310000
109,1080,1090,0.16666667,1.25610000,4122.76110000,275.79330000
110,1090,1100,0.16666667,1.24470000,4255.93580000,182.95260000
111,1100,1110,0.16666667,1.25450000,4225.95240000,108.34140000
112,1110,1120,0.16666667,1.25220000,4233.33840000,54.31210000
113,1120,1130,0.16666667,1.28810000,4246.46250000,18.65690000
114,1130,1140,0.16666667,1.34660000,4239.17950000,0.27530000
115,1140,1150,0.16666667,1.35230000,4244.66840000,0.22960000
116,1150,1160,0.16666667,1.34450000,4251.91870000,0.60070000
117,1160,1170,0.16666667,1.34830000,4256.68130000,0.00000000
118,1170,1180,0.16666667,1.34900000,4267.39470000,0.00000000
119,1180,1190,0.16666667,1.34730000,4269.97500000,0.00000000
120,1190,1200,0.16666667,1.34820000,4268.67020000,0.00000000
121,1200,1210,0.16666667,1.35130000,4282.22450000,0.00000000
122,1210,1220,0.16666667,1.34000000,4291.70490000,0.00000000
123,1220,1230,0.16666667,1.34890000,4291.36110000,0.00000000
124,1230,1240,0.16666667,1.39520000,4293.91820000,0.00000000
125,1240,1250,0.16666667,1.22260000,4295.21350000,0.00000000
126,1250,1260,0.16666667,0.93320000,4302.03070000,0.00000000
127,1260,1270,0.16666667,0.90680000,4320.96180000,0.00000000
128,1270,1280,0.16666667,0.93710000,4302.32920000,0.00000000
129,1280,1290,0.16666667,0.93710000,4322.67580000,0.00000000
130,1290,1300,0.16666667,0.98710000,4428.80830000,0.00000000
131,1300,1310,0.16666667,0.77640000,4030.16140000,0.00000000
132,1310,1320,0.16666667,0.42090000,3362.74190000,0.00000000
133,1320,1330,0.16666667,0.38590000,3309.39340000,0.00000000
134,1330,1340,0.16666667,0.43680000,3412.95630000,0.00000000
135,1340,1350,0.16666667,0.41980000,3381.93130000,0.00000000
