time_s,r_0.0_cm,r_0.1_cm,r_0.2_cm,r_0.3_cm,r_0.4_cm,r_0.5_cm,r_0.6_cm,r_0.7_cm,r_0.8_cm,r_0.9_cm,r_1.0_cm,r_1.1_cm,r_1.2_cm,r_1.3_cm,r_1.4_cm,r_1.5_cm,r_1.6_cm,r_1.7_cm,r_1.8_cm,r_1.9_cm,r_2.0_cm
1,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000001,28.00000310,28.00018663
2,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000001,28.00000089,28.00003565,28.00052527
3,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000022,28.00000726,28.00011521,28.00096136
4,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000005,28.00000153,28.00002525,28.00024430,28.00147544
5,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000001,28.00000033,28.00000556,28.00005970,28.00042177,28.00205625
6,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000007,28.00000123,28.00001428,28.00011392,28.00064560,28.00269624
7,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000002,28.00000028,28.00000338,28.00002962,28.00019005,28.00091365,28.00338985
8,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000006,28.00000079,28.00000751,28.00005336,28.00028948,28.00122388,28.00413276
9,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000001,28.00000019,28.00000187,28.00001447,28.00008704,28.00041304,28.00157443,28.00492152
10,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000004,28.00000046,28.00000382,28.00002513,28.00013195,28.00056122,28.00196360,28.00575328
11,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000001,28.00000011,28.00000099,28.00000703,28.00004032,28.00018919,28.00073425,28.00238983,28.00662561
12,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000003,28.00000025,28.00000192,28.00001189,28.00006088,28.00025966,28.00093221,28.00285174,28.00753643
13,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000001,28.00000006,28.00000051,28.00000341,28.00001885,28.00008756,28.00034410,28.00115503,28.00334804,28.00848395
14,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000002,28.00000014,28.00000095,28.00000566,28.00002837,28.00012107,28.00044311,28.00140258,28.00387756,28.00946656
15,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000004,28.00000026,28.00000165,28.00000888,28.00004088,28.00016206,28.00055721,28.00167468,28.00443924,28.01048285
16,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000001,28.00000007,28.00000047,28.00000270,28.00001333,28.00005685,28.00021112,28.00068678,28.00197108,28.00503208,28.01153154
17,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000002,28.00000013,28.00000080,28.00000422,28.00001923,28.00007671,28.00026879,28.00083215,28.00229153,28.00565518,28.01261149
18,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000001,28.00000004,28.00000023,28.00000130,28.00000631,28.00002687,28.00010089,28.00033554,28.00099357,28.00263576,28.00630769,28.01372165
