time_s,r_0.0_cm,r_0.1_cm,r_0.2_cm,r_0.3_cm,r_0.4_cm,r_0.5_cm,r_0.6_cm,r_0.7_cm,r_0.8_cm,r_0.9_cm,r_1.0_cm,r_1.1_cm,r_1.2_cm,r_1.3_cm,r_1.4_cm,r_1.5_cm,r_1.6_cm,r_1.7_cm,r_1.8_cm,r_1.9_cm,r_2.0_cm
1,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000142,28.00012964
2,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000031,28.00001914,28.00036586
3,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000006,28.00000303,28.00006579,28.00067096
4,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000001,28.00000050,28.00001160,28.00014440,28.00103147
5,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000009,28.00000204,28.00002918,28.00025499,28.00143963
6,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000002,28.00000036,28.00000569,28.00005815,28.00039672,28.00189018
7,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000006,28.00000109,28.00001255,28.00010021,28.00056850,28.00237929
8,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000001,28.00000021,28.00000261,28.00002372,28.00015651,28.00076917,28.00290398
9,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000004,28.00000053,28.00000535,28.00004017,28.00022787,28.00099767,28.00346186
10,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000001,28.00000011,28.00000116,28.00000976,28.00006282,28.00031485,28.00125298,28.00405092
11,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000002,28.00000025,28.00000227,28.00001633,28.00009242,28.00041780,28.00153416,28.00466950
12,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000005,28.00000051,28.00000405,28.00002553,28.00012967,28.00053693,28.00184034,28.00531617
13,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000001,28.00000011,28.00000097,28.00000671,28.00003785,28.00017514,28.00067234,28.00217073,28.00598967
14,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000002,28.00000023,28.00000169,28.00001049,28.00005372,28.00022931,28.00082410,28.00252458,28.00668890
15,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000001,28.00000005,28.00000041,28.00000278,28.00001563,28.00007359,28.00029262,28.00099220,28.00290122,28.00741284
16,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000001,28.00000010,28.00000071,28.00000434,28.00002238,28.00009784,28.00036541,28.00117659,28.00330002,28.00816063
17,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000002,28.00000018,28.00000116,28.00000650,28.00003101,28.00012686,28.00044800,28.00137719,28.00372038,28.00893146
18,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000001,28.00000004,28.00000030,28.00000182,28.00000938,28.00004177,28.00016099,28.00054062,28.00159388,28.00416177,28.00972461
19,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000001,28.00000008,28.00000049,28.00000272,28.00001312,28.00005490,28.00020055,28.00064350,28.00182655,28.00462367,28.01053942
20,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000002,28.00000013,28.00000077,28.00000395,28.00001786,28.00007065,28.00024584,28.00075681,28.00207507,28.00510561,28.01137527
21,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000003,28.00000021,28.00000115,28.00000557,28.00002375,28.00008926,28.00029712,28.00088070,28.00233930,28.00560713,28.01223159
22,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000001,28.00000006,28.00000033,28.00000168,28.00000766,28.00003094,28.00011097,28.00035464,28.00101529,28.00261909,28.00612781,28.01310786
23,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000001,28.00000009,28.00000049,28.00000238,28.00001029,28.00003959,28.00013598,28.00041863,28.00116069,28.00291430,28.00666726,28.01400358
24,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000002,28.00000014,28.00000072,28.00000329,28.00001354,28.00004983,28.00016452,28.00048929,28.00131697,28.00322478,28.00722510,28.01491829
25,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000001,28.00000004,28.00000021,28.00000102,28.00000446,28.00001752,28.00006183,28.00019678,28.00056682,28.00148421,28.00355037,28.00780096,28.01585157
26,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000001,28.00000006,28.00000031,28.00000142,28.00000593,28.00002230,28.00007574,28.00023296,28.00065137,28.00166243,28.00389092,28.00839452,28.01680302
27,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000002,28.00000009,28.00000044,28.00000195,28.00000775,28.00002799,28.00009170,28.00027325,28.00074312,28.00185169,28.00424628,28.00900545,28.01777226
28,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000003,28.00000013,28.00000062,28.00000261,28.00000997,28.00003467,28.00010986,28.00031782,28.00084220,28.00205199,28.00461629,28.00963345,28.01875895
29,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000001,28.00000004,28.00000019,28.00000085,28.00000343,28.00001264,28.00004246,28.00013037,28.00036684,28.00094873,28.00226337,28.00500081,28.01027822,28.01976273
30,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000001,28.00000006,28.00000027,28.00000115,28.00000446,28.00001582,28.00005143,28.00015337,28.00042046,28.00106285,28.00248581,28.00539969,28.01093949,28.02078329
31,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000000,28.00000002,28.00000009,28.00000038,28.00000153,28.00000570,28.00001957,28.00006170,28.00017899,28.00047883,28.00118464,28.00271932,28.00581278,28.01161701,28.02182034
