time_s,r_0.0_cm,r_0.1_cm,r_0.2_cm,r_0.3_cm,r_0.4_cm,r_0.5_cm,r_0.6_cm,r_0.7_cm,r_0.8_cm,r_0.9_cm,r_1.0_cm,r_1.1_cm,r_1.2_cm,r_1.3_cm,r_1.4_cm,r_1.5_cm,r_1.6_cm,r_1.7_cm,r_1.8_cm,r_1.9_cm,r_2.0_cm
60,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999992,2.54997972,2.54850422,2.51847259,2.32708550
120,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999998,2.54999825,2.54993215,2.54863294,2.53539212,2.46324900,2.24209674
180,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999989,2.54999668,2.54993512,2.54918184,2.54327892,2.51328591,2.41235448,2.17983915
240,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999999,2.54999983,2.54999675,2.54995539,2.54956090,2.54687835,2.53379145,2.48750457,2.36683850,2.12928790
300,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999999,2.54999983,2.54999756,2.54997314,2.54977380,2.54853486,2.54265319,2.52120200,2.46055292,2.32582426,2.08635701
360,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999999,2.54999986,2.54999839,2.54998484,2.54988543,2.54930528,2.54660572,2.53655721,2.50648049,2.43352023,2.28849643,2.04887585
420,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999999,2.54999990,2.54999902,2.54999173,2.54994234,2.54966739,2.54840815,2.54365465,2.52881890,2.49035513,2.40694609,2.25425280,2.01546282
480,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999999,2.54999994,2.54999943,2.54999557,2.54997101,2.54983928,2.54924400,2.54697489,2.53966560,2.51971132,2.47334424,2.38108143,2.22260705,1.98522574
540,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999996,2.54999967,2.54999765,2.54998538,2.54992163,2.54963693,2.54854452,2.54493916,2.53468655,2.50949693,2.45581485,2.35604050,2.19316690,1.95764217
600,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999998,2.54999982,2.54999875,2.54999259,2.54996142,2.54982379,2.54929349,2.54751015,2.54227031,2.52879668,2.49839886,2.43800675,2.33183085,2.16563024,1.93233370
660,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999999,2.54999990,2.54999934,2.54999622,2.54998082,2.54991358,2.54965400,2.54876832,2.54609657,2.53896399,2.52208625,2.48660110,2.42008737,2.30844870,2.13977087,1.90899230
720,2.55000000,2.55000000,2.55000000,2.55000000,2.54999999,2.54999994,2.54999965,2.54999805,2.54999036,2.54995716,2.54982898,2.54938686,2.54802460,2.54427336,2.53503359,2.51464531,2.47425112,2.40216965,2.28586607,2.11541205,1.88732180
780,2.55000000,2.55000000,2.55000000,2.54999999,2.54999997,2.54999981,2.54999898,2.54999509,2.54997851,2.54991461,2.54969255,2.54899670,2.54703086,2.54202235,2.53050441,2.50656141,2.46147521,2.38434892,2.26407558,2.09240189,1.86709003
840,2.55000000,2.55000000,2.55000000,2.54999998,2.54999989,2.54999946,2.54999746,2.54998907,2.54995689,2.54984453,2.54948785,2.54845887,2.54576170,2.53933584,2.52540953,2.49791655,2.44837700,2.36669007,2.24304177,2.07060492,1.84812388
900,2.55000000,2.55000000,2.54999999,2.54999994,2.54999970,2.54999866,2.54999435,2.54997795,2.54992060,2.54973684,2.54919774,2.54775074,2.54419774,2.53621441,2.51978658,2.48878721,2.43504606,2.34924820,2.22274455,2.04990979,1.83024099
960,2.55000000,2.54999999,2.54999996,2.54999983,2.54999927,2.54999702,2.54998854,2.54995897,2.54986364,2.54958038,2.54880512,2.54685227,2.54232538,2.53266547,2.51367586,2.47924326,2.42155532,2.33205635,2.20313811,2.03019490,1.81340881
1020,2.54999999,2.54999997,2.54999990,2.54999959,2.54999838,2.54999393,2.54997847,2.54992859,2.54977901,2.54936326,2.54829343,2.54574628,2.54013592,2.52870059,2.50711611,2.46934326,2.40795758,2.31512693,2.18417654,2.01139392,1.79749119
1080,2.54999996,2.54999992,2.54999975,2.54999909,2.54999669,2.54998849,2.54996208,2.54988252,2.54965884,2.54907322,2.54764707,2.54441843,2.53762481,2.52433456,2.50014577,2.45914153,2.39430232,2.29847993,2.16583716,1.99342454,1.78248583
1140,2.54999989,2.54999981,2.54999944,2.54999812,2.54999367,2.54997949,2.54993674,2.54981572,2.54949462,2.54869795,2.54685162,2.54285716,2.53479098,2.51958393,2.49279972,2.44868067,2.38061830,2.28210687,2.14806456,1.97623858,1.76830843
1200,2.54999974,2.54999958,2.54999884,2.54999637,2.54998861,2.54996533,2.54989928,2.54972246,2.54927730,2.54822524,2.54589398,2.54105322,2.53163567,2.51446563,2.48511034,2.43800007,2.36693775,2.26602165,2.13085735,1.95979333,1.75483742
1260,2.54999945,2.54999913,2.54999775,2.54999340,2.54998051,2.54994403,2.54984595,2.54959645,2.54899752,2.54764331,2.54476245,2.53899984,2.52816282,2.50899842,2.47710996,2.42713717,2.35328994,2.25023303,2.11419246,1.94403478,1.74197025
1320,2.54999887,2.54999830,2.54999587,2.54998858,2.54996810,2.54991312,2.54977244,2.54943085,2.54864576,2.54694092,2.54344692,2.53669256,2.52437865,2.50320214,2.46883014,2.41612770,2.33970332,2.23474982,2.09804699,1.92889222,1.72973785
1380,2.54999783,2.54999685,2.54999276,2.54998107,2.54994980,2.54986973,2.54967395,2.54921844,2.54821250,2.54610759,2.54193882,2.53412892,2.52029080,2.49709588,2.46029786,2.40499724,2.32618883,2.21955484,2.08237188,1.91433915,1.71813338
1440,2.54999605,2.54999442,2.54998784,2.54996980,2.54992364,2.54981051,2.54954521,2.54895172,2.54768834,2.54513354,2.54023085,2.53130774,2.51590729,2.49069750,2.45153766,2.39377028,2.31276297,2.20465268,2.06716894,1.90035879,1.70699714
1500,2.54999311,2.54999052,2.54998032,2.54995341,2.54988730,2.54973169,2.54938053,2.54862295,2.54706411,2.54400982,2.53831709,2.52822954,2.51123781,2.48402633,2.44257562,2.38247359,2.29944608,2.19005280,2.05242949,1.88690330,1.69624985
1560,2.54998846,2.54998448,2.54996921,2.54993025,2.54983809,2.54962907,2.54917387,2.54822431,2.54633102,2.54272848,2.53619324,2.52489677,2.50629386,2.47710310,2.43343881,2.37113500,2.28625987,2.17576240,2.03813311,1.87391459,1.68592545
1620,2.54998134,2.54997545,2.54995325,2.54989835,2.54977291,2.54949805,2.54891893,2.54774803,2.54548079,2.54128269,2.53385653,2.52131344,2.50108776,2.46994745,2.42414998,2.35977310,2.27320960,2.16176388,2.02423804,1.86137205,1.67600202
1680,2.54997077,2.54996229,2.54993088,2.54985539,2.54968830,2.54933370,2.54860922,2.54718644,2.54450569,2.53966654,2.53130529,2.51748427,2.49563158,2.46257767,2.41473019,2.34840649,2.26030577,2.14805685,2.01073851,1.84925007,1.66643944
1740,2.54995554,2.54994362,2.54990026,2.54979869,2.54958043,2.54913079,2.54823812,2.54653208,2.54339862,2.53787515,2.52853906,2.51341508,2.48993797,2.45501166,2.40519833,2.33704859,2.24754899,2.13462359,1.99759561,1.83751411,1.65732750
1800,2.54993409,2.54991777,2.54985919,2.54972523,2.54944512,2.54888383,2.54779898,2.54577776,2.54215307,2.53590445,2.52555807,2.50911166,2.48401804,2.44726342,2.39556672,2.32570412,2.23493136,2.12144290,1.98478775,1.82617340,1.64861761
1860,2.54990459,2.54988269,2.54980513,2.54963162,2.54927787,2.54858710,2.54728509,2.54491646,2.54076299,2.53375091,2.52236290,2.50457958,2.47788199,2.43934583,2.38584761,2.31438122,2.22245525,2.10851497,1.97232008,1.81521509,1.64024409
1920,2.54986485,2.54983602,2.54973520,2.54951412,2.54907388,2.54823472,2.54668979,2.54394153,2.53922288,2.53141176,2.51895487,2.49982505,2.47154054,2.43127236,2.37605432,2.30309006,2.21012660,2.09584290,1.96019115,1.80462574,1.63210739
1980,2.54981228,2.54977500,2.54964610,2.54936863,2.54882804,2.54782063,2.54600647,2.54284659,2.53752786,2.52888502,2.51533629,2.49485544,2.46500595,2.42305893,2.36620465,2.29184887,2.19796343,2.08344268,1.94840447,1.79435974,1.62417990
2040,2.54974392,2.54969651,2.54953420,2.54919074,2.54853505,2.54733873,2.54522871,2.54162581,2.53567392,2.52616996,2.51151091,2.48967959,2.45829167,2.41472177,2.35631451,2.28066926,2.18596803,2.07129949,1.93691888,1.78438236,1.61652617
2100,2.54965642,2.54959700,2.54939547,2.54897570,2.54818937,2.54678293,2.54435036,2.54027387,2.53365780,2.52326659,2.50748294,2.48430598,2.45140939,2.40627358,2.34639467,2.26955685,2.17413761,2.05940038,1.92572056,1.77469544,1.60909071
2160,2.54954602,2.54947257,2.54922555,2.54871850,2.54778536,2.54614714,2.54336551,2.53878595,2.53147682,2.52017547,2.50325688,2.47874307,2.44437067,2.39772741,2.33645751,2.25852102,2.16247668,2.04774557,1.91480692,1.76527886,1.60185191
2220,2.54940857,2.54931891,2.54901975,2.54841391,2.54731725,2.54542540,2.54226858,2.53715772,2.52912900,2.51689796,2.49883800,2.47299999,2.43718756,2.38909631,2.32651438,2.24756817,2.15098364,2.03632300,1.90415296,1.75610968,1.59487545
2280,2.54923953,2.54913136,2.54877304,2.54805646,2.54677921,2.54461186,2.54105433,2.53538543,2.52661302,2.51343593,2.49423174,2.46708529,2.42987032,2.38038995,2.31657137,2.23669792,2.13964976,2.02511639,1.89374462,1.74719841,1.58810309
2340,2.54903402,2.54890493,2.54848016,2.54764052,2.54616539,2.54370082,2.53971785,2.53346574,2.52392793,2.50979147,2.48944338,2.46100698,2.42242857,2.37161793,2.30663639,2.22591523,2.12847704,2.01412723,1.88358371,1.73851965,1.58152558
2400,2.54878680,2.54863430,2.54813555,2.54716030,2.54546995,2.54268677,2.53825454,2.53139577,2.52107332,2.50596719,2.48447864,2.45477332,2.41487180,2.36278893,2.29671481,2.21521980,2.11745827,2.00334101,1.87364903,1.73007118,1.57514483
2460,2.54849235,2.54831386,2.54773346,2.54660993,2.54468708,2.54156437,2.53666018,2.52917306,2.51804915,2.50196586,2.47934303,2.44839196,2.40720863,2.35391114,2.28681316,2.20461611,2.10659633,1.99276055,1.86394504,1.72184001,1.56894937
2520,2.54814483,2.54793776,2.54726795,2.54598343,2.54381102,2.54032852,2.53493086,2.52679559,2.51485589,2.49779073,2.47404252,2.44187093,2.39944789,2.34499246,2.27693644,2.19410434,2.09588536,1.98237332,1.85445331,1.71382273,1.56292911
2580,2.54773820,2.54749992,2.54673291,2.54527481,2.54283612,2.53897434,2.53306306,2.52426176,2.51149432,2.49344521,2.46858289,2.43521764,2.39159758,2.33604030,2.26709070,2.18368929,2.08533010,1.97218661,1.84518633,1.70601292,1.55699105
