time_s,time_h,radius_cm,temperature_c,moisture_kg_per_kg
1800.00000000,0.50000000,0.00000000,32.18925469,2.54993409
1800.00000000,0.50000000,0.50000000,32.38212828,2.54888379
1800.00000000,0.50000000,1.00000000,32.96596091,2.52555786
1800.00000000,0.50000000,1.50000000,33.96080842,2.32570414
1800.00000000,0.50000000,2.00000000,35.41305657,1.64861809
3600.00000000,1.00000000,0.00000000,40.38157474,2.52573734
3600.00000000,1.00000000,0.50000000,40.55357593,2.49478670
3600.00000000,1.00000000,1.00000000,41.06049855,2.35781909
3600.00000000,1.00000000,1.50000000,41.87823996,2.02296368
3600.00000000,1.00000000,2.00000000,42.99763421,1.47109363
5400.00000000,1.50000000,0.00000000,45.84676107,2.38606399
5400.00000000,1.50000000,0.50000000,45.93480724,2.32563636
5400.00000000,1.50000000,1.00000000,46.19294108,2.13440873
5400.00000000,1.50000000,1.50000000,46.60505238,1.80201704
5400.00000000,1.50000000,2.00000000,47.14002239,1.34756705
7200.00000000,2.00000000,0.00000000,48.45026053,2.17085159
7200.00000000,2.00000000,0.50000000,48.48808770,2.10843395
7200.00000000,2.00000000,1.00000000,48.59847824,1.92362841
7200.00000000,2.00000000,1.50000000,48.77359666,1.62593865
7200.00000000,2.00000000,2.00000000,49.00336980,1.23109280
9000.00000000,2.50000000,0.00000000,49.46698541,1.95664173
9000.00000000,2.50000000,0.50000000,49.47922561,1.90059727
9000.00000000,2.50000000,1.00000000,49.51365740,1.73598007
9000.00000000,2.50000000,1.50000000,49.56534843,1.47198724
9000.00000000,2.50000000,2.00000000,49.66094389,1.11664774
10800.00000000,3.00000000,0.00000000,49.84947843,1.76617707
10800.00000000,3.00000000,0.50000000,49.85531795,1.71653300
10800.00000000,3.00000000,1.00000000,49.87457931,1.57019805
10800.00000000,3.00000000,1.50000000,49.91010448,1.33326354
10800.00000000,3.00000000,2.00000000,49.96637692,1.00812298
