time_h,r_0.0_cm,r_0.5_cm,r_1.0_cm,r_1.5_cm,r_2.0_cm
6.00000000,1.01555104,0.98682918,0.90055282,0.75463479,0.53345618
12.00000000,0.45475884,0.44183784,0.40194008,0.32892293,0.16394940
18.00000000,0.29789184,0.29063814,0.26791054,0.22469878,0.08421777
24.00000000,0.23710065,0.23206544,0.21612781,0.18508986,0.06626696
30.00000000,0.20526677,0.20130641,0.18868563,0.16371615,0.05966009
36.00000000,0.18540914,0.18207586,0.17140304,0.15005338,0.05648164
42.00000000,0.17165759,0.16873627,0.15934954,0.14041774,0.05469436
48.00000000,0.16146247,0.15883388,0.15036453,0.13317311,0.05358101
54.00000000,0.15353505,0.15112621,0.14334773,0.12747650,0.05283557
57.18333333,0.14998843,0.14767561,0.14019959,0.12490917,0.05253507
