case,question,drying_time_h,change_percent
baseline,3,57.15905573,0.00000000
baseline,4,50.82301195,0.00000000
"rtol=2e-06,max_step=60",3,57.16029319,0.00216494
"rtol=2e-06,max_step=60",4,50.82410602,0.00215270
"rtol=2e-07,max_step=60",3,57.15905573,0.00000000
"rtol=2e-07,max_step=60",4,50.82301195,0.00000000
"rtol=2e-08,max_step=30",3,57.15876991,-0.00050003
"rtol=2e-08,max_step=30",4,50.82281861,-0.00038042
air_extension_last,3,57.15905573,0.00000000
air_extension_last,4,50.82301195,0.00000000
air_extension_tail_mean,3,57.45285225,0.51399822
air_extension_tail_mean,4,51.08133521,0.50828010
air_extension_smooth_tail_mean,3,57.45041678,0.50973734
air_extension_smooth_tail_mean,4,51.07808380,0.50188258
D_prefactor_minus20,3,69.83818091,22.18218098
D_prefactor_minus20,4,62.01108605,22.01379585
D_prefactor_plus20,3,48.78656775,-14.64770170
D_prefactor_plus20,4,43.39999579,-14.60562033
D_moisture_exponent_minus10,3,45.34733952,-20.66464544
D_moisture_exponent_minus10,4,43.99753998,-13.42988483
D_moisture_exponent_plus10,3,72.97239167,27.66549543
D_moisture_exponent_plus10,4,59.06286204,16.21283306
D_activation_exponent_minus5,3,34.85279704,-39.02489011
D_activation_exponent_minus5,4,30.96235272,-39.07808387
D_activation_exponent_plus5,3,98.76247604,72.78535271
D_activation_exponent_plus5,4,87.33254880,71.83662567
radius_pchip,4,50.81952092,-0.00686900
